#,PM,SONG,Akane,Bee,Belb,Benji,Creme,Euphie,Frog,Gucci,Hikk,Hypno,Jack,Jules,Kappy,King,Nick,Niki,Poppy,RC,Ricki,Rona,Roxie,Sam,Sean,Skar,Steel,Tilt
1,1,I THINK,9,10,,,6,,11,8.5,9,7.5,,,10,,,11,,11,8.5,10,,10,8.7,11,10,8
1,2,EARFQUAKE,10,10,,,8,,10,8.2,10,10,,,9,,,10,,9.5,11,9,,10,8.5,10,10,10
1,3,A BOY IS A GUN,8,8.5,,,10,,10,7.6,7.5,11,,,10,,,10,,8.5,8.5,7,,10,11,9,10,9
1,4,Ladders,7,7,,,11,,10,9.6,11,9.8,,,11,,,10,,9.5,8.7,10,,9,9.3,10,7,8.5
1,6,"GONE, GONE / THANK YOU",11,9,,,8,,10,10,6,8.1,,,10,,,10,,8,10,0,,8,9,8,8,9.5
1,8,NEW MAGIC WAND,7,8,,,10,,10,11,8,7.2,,,10,,,10,,10,9,8,,10,8.8,10,10,6
1,14,NO HALO,8,10,,,10,,8,10,9,8.7,,,8,,,10,,9,6.5,8,,11,9.5,9,10,11
1,20,GINGER,7,11,,,8,,6,7.7,7.5,6.6,,,7,,,10,,6.8,7.3,9,,7,8,10,10,10
1,22,DEARLY DEPARTED,4,8.5,,,6,,8,9,7,10,,,3,,,10,,6,7,11,,9,8,10,11,9.5
2,1,Concrete Angel,10,8,,,,11,5,,6,9.5,,7,9.5,,,9,11,,6.7,,,11,10,8,10,11
2,2,stupid horse,7,9.5,,,,9,10,,8,7.7,,8,10,,,8,10,,11,,,9,9.3,4,10,3
2,3,ringtone,4.5,11,,,,10,8,,7,6.6,,7.5,10,,,9,9,,9,,,7,10,7,9,10
2,5,Alone,10,10,,,,19,7,,11,9,,7,10,,,10,10,,8.5,,,10,9.2,9,7.5,7
2,7,Career Boy,8.5,6.5,,,,9,4,,7,10,,11,5,,,9,9.5,,9,,,9,8.7,9,10,8
2,9,Mine,2,7,,,,9,10,,10,10,,5,10,,,8,10,,7.5,,,10,11,11,9,6
2,10,BFF,4,8.5,,,,10,10,,7.5,10,,8,11,,,6,8,,7,,,10,8.1,8,8,8
2,11,Flamboyant,6.5,10,,,,10,4,,8.5,8.8,,8,7,,,8,10,,6.5,,,10,10,8,11,10
2,18,Daddy AF,9,9,,,,10,11,,10,10,,4,10,,,4,10,,9,,,10,10,10,10,1
2,22,Adam & Steve,10,9.5,,,,10,4,,5,7.5,,7,7,,,11,10,,4,,,8,9.1,8,10,8.5
2,35,Cha Ching,9,9,,,,7,5,,10,11,,9,10,,,0,10,,4,,,7.5,9,4,5,2
2,39,Daddy Like,11,9,,,,7,3,,7,6.7,,7,3,,,9,8,,5,,,8.5,9.6,8,10,4.5
